user_id,item_id,rating
1,65,4.0
1,115,4.0
2,45,1.0
2,54,4.0
3,92,4.0
5,4,3.0
5,8,4.0
5,17,4.0
5,18,4.0
5,19,4.0
5,23,4.0
5,25,3.0
5,38,4.0
5,39,4.0
5,42,4.0
5,43,4.0
5,44,4.0
5,50,3.0
5,55,4.0
5,68,4.0
5,69,4.0
5,88,4.0
5,100,3.0
5,105,3.0
5,112,4.0
5,125,4.0
5,132,1.0
5,138,4.0
5,149,1.0
5,150,4.0
6,63,4.0
6,83,4.0
7,2,4.0
7,12,3.0
7,17,4.0
7,22,4.0
7,25,4.0
7,27,4.0
7,37,4.0
7,46,3.0
7,50,4.0
7,53,4.0
7,55,1.0
7,79,5.0
7,98,3.0
7,104,4.0
7,112,4.0
7,115,3.0
7,125,4.0
7,130,5.0
7,132,5.0
7,138,4.0
7,139,4.0
7,149,1.0
8,4,3.0
9,25,4.0
9,83,4.0
9,92,4.0
9,96,3.0
10,17,5.0
10,20,4.0
10,27,4.0
10,28,3.0
10,53,4.0
10,54,4.0
10,71,5.0
10,73,4.0
10,86,5.0
10,88,1.0
10,120,4.0
10,123,4.0
10,131,4.0
10,149,4.0
10,150,4.0
11,27,4.0
11,36,4.0
11,132,4.0
12,2,4.0
12,12,1.0
12,19,3.0
12,20,1.0
12,23,3.0
12,25,4.0
12,38,3.0
12,43,4.0
12,46,3.0
12,54,4.0
12,76,1.0
12,78,4.0
12,92,4.0
12,103,4.0
12,109,4.0
12,115,4.0
12,131,4.0
12,132,3.0
12,137,4.0
12,141,4.0
13,53,1.0
13,125,4.0
14,112,5.0
15,2,4.0
15,88,4.0
16,59,4.0
18,43,4.0
18,53,3.0
19,4,3.0
19,50,4.0
19,74,4.0
19,83,4.0
19,92,4.0
19,96,4.0
19,124,4.0
19,145,4.0
20,2,4.0
20,50,4.0
21,11,4.0
21,32,4.0
21,147,5.0
22,142,3.0
22,150,3.0
23,2,4.0
23,4,4.0
23,19,4.0
23,20,3.0
23,22,4.0
23,28,4.0
23,31,4.0
23,53,4.0
23,55,4.0
23,59,3.0
23,60,3.0
23,76,4.0
23,78,4.0
23,79,3.0
23,87,4.0
23,88,4.0
23,92,4.0
23,109,4.0
23,113,4.0
23,114,3.0
23,115,3.0
23,122,4.0
23,124,4.0
23,125,4.0
23,132,4.0
23,149,4.0
24,48,3.0
24,96,1.0
25,43,4.0
25,76,4.0
25,96,4.0
25,112,4.0
26,150,4.0
27,107,4.0
27,125,4.0
27,138,4.0
28,32,5.0
29,92,3.0
30,2,4.0
30,17,4.0
30,20,4.0
30,21,4.0
30,22,4.0
30,24,4.0
30,25,4.0
30,27,3.0
30,55,4.0
30,76,4.0
30,88,4.0
30,102,4.0
30,106,4.0
30,109,4.0
30,122,1.0
30,125,4.0
30,131,4.0
30,137,4.0
30,138,4.0
30,139,4.0
30,143,4.0
30,149,4.0
31,27,4.0
31,131,3.0
32,72,4.0
32,109,3.0
32,150,1.0
33,4,4.0
33,17,3.0
33,19,3.0
33,22,4.0
33,25,4.0
33,27,4.0
33,33,4.0
33,40,3.0
33,42,5.0
33,50,4.0
33,54,4.0
33,76,4.0
33,99,3.0
33,109,4.0
33,115,3.0
33,125,4.0
33,131,3.0
33,148,4.0
33,149,1.0
34,4,3.0
34,12,3.0
34,13,3.0
34,19,1.0
34,20,4.0
34,25,1.0
34,54,3.0
34,56,4.0
34,76,4.0
34,83,4.0
34,88,4.0
34,96,4.0
34,101,3.0
34,112,4.0
34,115,4.0
34,144,4.0
34,145,3.0
35,83,3.0
35,126,4.0
35,150,4.0
36,25,3.0
36,131,4.0
37,15,4.0
37,59,3.0
37,113,4.0
37,137,4.0
38,54,4.0
38,92,4.0
39,96,4.0
39,131,3.0
40,83,3.0
41,10,1.0
41,12,4.0
41,17,4.0
41,22,4.0
41,26,4.0
41,36,1.0
41,37,4.0
41,92,4.0
41,96,4.0
41,109,4.0
41,112,3.0
41,130,3.0
41,132,4.0
41,138,3.0
41,148,4.0
42,88,3.0
42,106,4.0
42,145,4.0
43,22,1.0
43,84,4.0
43,112,4.0
43,119,4.0
44,18,4.0
44,132,3.0
45,92,4.0
45,112,4.0
46,104,4.0
46,125,3.0
47,5,4.0
47,24,5.0
47,92,4.0
47,134,4.0
47,138,4.0
48,3,4.0
48,43,4.0
48,127,4.0
49,20,4.0
49,32,4.0
49,88,4.0
49,132,3.0
50,1,1.0
50,2,4.0
50,4,3.0
50,20,4.0
50,29,3.0
50,33,4.0
50,40,3.0
50,43,4.0
50,50,4.0
50,52,3.0
50,56,4.0
50,59,4.0
50,62,4.0
50,64,4.0
50,71,4.0
50,76,3.0
50,84,4.0
50,89,4.0
50,111,1.0
50,112,4.0
50,114,4.0
50,115,4.0
50,125,5.0
50,135,4.0
50,138,3.0
50,145,4.0
50,149,3.0
50,150,1.0
51,54,5.0
51,59,4.0
51,106,4.0
51,112,5.0
52,2,3.0
52,4,4.0
52,12,4.0
52,15,4.0
52,25,4.0
52,27,4.0
52,43,4.0
52,53,3.0
52,61,1.0
52,70,4.0
52,96,4.0
52,112,4.0
52,126,3.0
52,138,4.0
52,148,4.0
53,2,5.0
53,4,4.0
53,14,4.0
53,15,4.0
53,16,4.0
53,20,4.0
53,22,4.0
53,38,4.0
53,53,3.0
53,54,4.0
53,59,3.0
53,76,4.0
53,89,4.0
53,96,3.0
53,106,4.0
53,109,5.0
53,131,3.0
53,132,4.0
53,149,1.0
53,150,1.0
54,109,1.0
54,131,3.0
54,148,4.0
55,22,4.0
55,43,4.0
56,5,3.0
56,12,3.0
56,17,4.0
56,19,4.0
56,20,3.0
56,22,4.0
56,23,4.0
56,25,4.0
56,35,3.0
56,40,3.0
56,78,3.0
56,80,3.0
56,81,4.0
56,83,4.0
56,98,4.0
56,112,3.0
56,125,5.0
56,134,5.0
56,137,3.0
56,138,3.0
56,149,1.0
56,150,4.0
57,20,4.0
57,36,3.0
57,113,4.0
58,8,4.0
58,17,3.0
58,43,4.0
58,50,4.0
58,51,4.0
58,54,4.0
58,55,4.0
58,57,4.0
58,76,4.0
58,88,4.0
58,92,4.0
58,98,4.0
58,109,4.0
58,110,4.0
58,131,4.0
58,132,4.0
58,134,3.0
58,140,4.0
58,148,4.0
59,8,4.0
60,50,3.0
61,44,4.0
61,53,3.0
62,55,3.0
62,59,5.0
62,88,4.0
63,12,4.0
63,19,4.0
63,35,3.0
63,54,3.0
63,118,4.0
64,12,1.0
64,109,4.0
64,139,4.0
65,12,4.0
65,24,4.0
65,39,4.0
65,132,4.0
65,138,4.0
66,50,4.0
67,17,4.0
67,22,4.0
67,34,3.0
67,71,4.0
68,11,3.0
68,20,4.0
68,111,4.0
68,124,5.0
68,131,4.0
68,142,1.0
69,49,4.0
69,76,4.0
71,149,4.0
72,15,3.0
72,17,5.0
72,19,4.0
72,25,4.0
72,50,3.0
72,53,3.0
72,54,4.0
72,76,1.0
72,80,4.0
72,81,4.0
72,84,4.0
72,112,4.0
72,122,3.0
72,132,3.0
73,46,4.0
73,53,4.0
74,30,1.0
74,125,4.0
74,126,4.0
74,138,4.0
75,12,4.0
75,59,4.0
75,109,4.0
75,122,4.0
75,132,1.0
76,134,3.0
77,10,4.0
77,55,3.0
77,96,4.0
77,109,4.0
77,140,3.0
78,10,4.0
78,19,3.0
78,20,4.0
78,22,4.0
78,24,3.0
78,50,4.0
78,53,4.0
78,60,4.0
78,65,3.0
78,76,4.0
78,88,3.0
78,92,4.0
78,96,4.0
78,98,4.0
78,112,4.0
78,131,4.0
78,144,1.0
79,59,4.0
79,132,4.0
79,148,4.0
80,2,4.0
80,17,3.0
80,19,1.0
80,68,4.0
